Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
456811,220694,-1.176053,51.88188,43,3,1,2,05-08-14,3,15:08,481,E10000025,3,41,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01028424
383354,410437,-2.252958,53.590239,6,3,1,1,20-07-14,1,4:33,106,E08000005,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01005514
526002,317949,-0.134845,52.744459,32,3,2,1,13-10-14,2,15:28,354,E10000019,5,1073,6,30,3,4,4,1357,0,0,1,5,2,0,0,2,1,E01026284
453246,279947,-1.218571,52.414905,23,3,2,1,05-08-14,3,14:40,292,E10000031,3,5,6,60,3,4,6,0,0,0,1,1,2,0,0,2,1,E01032892
447578,191108,-1.314222,51.616746,43,3,3,2,19-04-14,7,11:10,483,E10000025,3,4130,6,50,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01028732
536840,169220,-0.03401,51.40545,1,3,2,1,30-11-14,1,12:00,19,E09000006,3,222,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000703
325010,322260,-3.113552,52.792654,22,1,2,1,02-04-14,4,8:38,286,E06000051,3,495,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01028914
546510,140370,0.093104,51.143791,46,3,2,2,30-04-14,4,17:20,538,E10000016,6,661,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01024420
527450,171480,-0.168125,51.427947,1,3,2,1,15-04-14,3,7:40,10,E09000032,3,24,6,30,6,2,3,217,0,5,1,1,1,0,0,1,1,E01004617
436976,423439,-1.44133,53.706071,13,3,2,4,29-06-14,1,12:25,206,E08000036,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01011879
574040,169400,0.500427,51.396881,46,3,2,1,08-04-14,3,17:44,544,E06000035,4,2002,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01016140
563259,317553,0.416412,52.730944,36,3,2,1,03-01-14,6,15:45,407,E10000020,3,10,6,40,8,4,6,0,0,0,4,4,2,0,0,1,1,E01026724
302621,191189,-3.407751,51.611037,62,3,1,1,04-03-14,3,17:54,744,W06000016,6,0,6,30,3,4,4,4278,0,0,1,1,1,0,0,1,1,W01001229
538900,192230,0.004645,51.611721,1,3,2,1,21-06-14,7,15:29,13,E09000031,6,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01004387
264850,654483,-4.155646,55.764799,97,3,2,2,03-04-14,5,15:50,938,S12000029,6,0,6,30,0,-1,-1,0,0,0,1,2,2,0,6,1,1,
247805,362999,-4.27693,53.142328,60,1,1,1,08-09-14,2,19:00,722,W06000002,6,0,9,20,0,-1,-1,0,0,0,1,1,1,0,2,2,1,W01000093
260499,668874,-4.232328,55.892771,97,3,2,1,04-02-14,3,19:00,926,S12000043,6,0,3,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,
526978,150265,-0.182467,51.237386,45,3,2,2,03-04-14,5,16:10,513,E10000030,3,25,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01030622
532180,170490,-0.100495,51.417968,1,3,1,1,25-04-14,6,12:26,20,E09000008,3,215,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01001163
442045,112735,-1.403327,50.912493,44,3,2,1,15-10-14,4,19:05,500,E06000045,6,0,6,30,3,4,6,0,0,4,4,1,2,0,0,1,2,E01032738
436175,380656,-1.45839,53.321586,14,3,1,2,20-01-14,2,6:25,215,E08000019,4,6057,6,40,3,4,6,0,0,0,4,8,1,0,0,2,1,E01008081
391470,342491,-2.1285,52.979676,21,3,2,1,15-11-14,7,19:00,257,E06000021,6,0,6,30,6,2,3,5005,0,4,4,1,2,0,0,1,1,E01014312
434403,387420,-1.484257,53.382502,14,3,2,1,28-11-14,6,9:50,215,E08000019,3,61,3,40,1,4,3,61,0,4,1,1,1,0,0,1,2,E01008068
548440,189080,0.140994,51.580985,1,3,5,2,07-10-14,3,12:23,16,E09000002,3,12,3,50,6,2,3,1112,0,5,1,1,1,0,0,1,1,E01000030
499620,151796,-0.573791,51.256578,45,3,2,1,02-12-14,3,10:13,511,E10000030,3,320,6,30,0,-1,-1,0,1,0,1,2,2,0,0,1,1,E01030482
495359,237602,-0.611469,52.028601,40,3,4,3,04-12-14,5,6:50,424,E06000056,1,1,3,70,5,4,1,1,0,0,6,1,2,0,0,2,1,E01033194
412474,520530,-1.808524,54.579839,11,3,2,1,22-05-14,5,17:20,169,E06000047,3,688,6,30,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01020867
434410,338410,-1.489407,52.941963,30,3,3,1,03-09-14,4,13:50,323,E06000015,3,38,3,70,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013529
438888,386346,-1.416965,53.372538,14,3,1,1,06-03-14,5,15:22,215,E08000019,6,0,6,30,0,-1,-1,0,0,1,1,9,1,0,0,1,1,E01008017
535347,158842,-0.059408,51.312544,45,2,2,1,09-03-14,1,10:42,516,E10000030,4,269,6,30,8,4,-1,-1,0,0,1,1,1,0,0,1,1,E01030856
456147,336745,-1.166261,52.925168,31,3,2,1,18-04-14,6,14:24,346,E06000018,3,52,3,50,0,-1,-1,0,0,0,1,1,1,0,1,2,1,E01013928
401540,297310,-1.978719,52.573581,20,3,2,1,02-03-14,1,13:15,307,E08000030,6,0,6,30,6,2,6,0,0,0,1,1,1,0,0,1,2,E01010342
524750,180390,-0.203799,51.508624,1,3,2,1,12-10-14,1,18:45,12,E09000020,4,450,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,E01002871
418506,433422,-1.720533,53.796777,13,2,1,1,27-08-14,4,14:30,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010620
503015,223418,-0.504166,51.89975,40,3,2,1,18-07-14,6,19:00,421,E06000032,5,205,6,30,8,4,-1,-1,0,4,1,1,1,0,0,1,2,E01015757
375011,164280,-2.360443,51.376966,52,3,2,1,12-11-14,4,12:00,611,E06000022,6,0,9,30,1,4,6,0,0,0,1,1,1,0,0,1,2,E01014481
182730,62656,-5.060227,50.423407,50,3,1,1,28-11-14,6,11:00,596,E06000052,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,2,2,E01019048
331984,397982,-3.026237,53.474148,5,2,1,1,11-07-14,6,10:30,93,E08000014,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01006957
508249,429597,-0.359785,53.751501,16,3,2,1,23-04-14,4,16:15,228,E06000010,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01012852
385200,514480,-2.230182,54.5254,3,3,1,1,20-03-14,5,12:17,64,E10000006,3,66,3,70,0,-1,-1,0,0,0,1,4,2,0,0,2,1,E01019309
295633,103125,-3.482979,50.818174,50,3,2,1,21-05-14,4,8:10,586,E10000008,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01020071
296675,93117,-3.465378,50.728391,50,3,2,1,15-07-14,3,22:35,581,E10000008,1,5,7,40,5,2,3,3015,0,0,7,1,1,0,0,1,2,E01020038
443183,393327,-1.35146,53.434952,14,3,2,1,31-10-14,6,7:40,213,E08000018,3,630,1,30,1,2,3,630,0,0,1,1,1,0,0,1,1,E01007714
465238,321205,-1.034156,52.784464,33,3,3,3,17-12-14,4,16:44,365,E10000018,4,676,6,60,3,4,6,6111,0,0,6,2,2,0,0,2,1,E01025909
537420,191000,-0.017197,51.601031,1,3,3,1,09-09-14,3,9:40,13,E09000031,3,406,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004403
351100,222860,-2.712173,51.902084,22,3,1,1,27-03-14,5,21:34,285,E06000019,4,4521,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,2,E01014050
