Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
287924,58335,-3.578833,50.414089,50,2,2,1,09-05-14,6,16:00,587,E06000027,3,379,6,30,9,4,6,0,0,0,1,1,1,0,0,1,1,E01015195
480541,280368,-0.817233,52.415356,34,3,2,2,02-01-14,5,12:25,383,E10000021,3,14,3,70,5,4,3,14,0,8,1,1,1,0,0,2,1,E01027124
351067,616760,-2.775033,55.44229,95,3,1,1,09-06-14,2,9:10,914,S12000026,3,7,1,60,1,4,6,0,0,0,1,1,1,0,0,2,2,
543940,182620,0.073451,51.524104,1,3,2,1,29-10-14,4,19:41,17,E09000025,3,406,1,30,1,2,3,406,0,5,4,1,1,0,0,2,1,E01003482
256082,668498,-4.302697,55.888095,97,3,2,1,03-03-14,2,8:45,926,S12000043,6,0,6,30,9,4,6,0,0,0,1,1,2,0,0,1,1,
396822,309069,-2.048454,52.679285,21,3,2,6,22-02-14,7,10:40,250,E10000028,3,5,6,30,1,4,3,5,0,0,1,1,2,0,0,1,1,E01029361
441223,117734,-1.414455,50.957504,44,3,1,1,29-01-14,4,21:21,501,E10000014,1,3,3,70,0,-1,-1,0,0,0,4,1,2,0,0,2,1,E01023171
508108,433306,-0.360624,53.784853,16,3,2,1,29-01-14,4,19:20,228,E06000010,3,1079,3,40,3,4,6,0,0,0,4,1,1,0,0,1,1,E01012764
491099,414317,-0.624273,53.617475,16,3,3,2,22-10-14,4,18:30,232,E06000013,6,0,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01013274
405090,294950,-1.926372,52.552343,20,3,2,1,16-09-14,3,7:00,305,E08000028,1,6,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01009975
570604,186223,0.459201,51.549052,42,3,2,1,28-09-14,1,1:08,462,E06000034,3,13,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01015943
475518,260981,-0.895421,52.241808,34,3,2,1,29-08-14,6,14:20,384,E10000021,3,4500,6,30,9,2,6,8059,0,5,1,1,1,0,0,1,1,E01027155
526570,172440,-0.180433,51.436772,1,3,1,4,11-07-14,6,11:10,10,E09000032,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01004491
431923,146595,-1.544321,51.217611,44,3,4,2,02-09-14,3,17:10,501,E10000014,3,342,6,40,8,4,6,0,0,0,1,1,1,0,0,2,1,E01023196
442790,372780,-1.360146,53.250302,30,3,2,1,06-02-14,5,14:50,322,E10000007,5,325,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01019549
510494,223867,-0.395364,51.902354,40,3,2,1,09-05-14,6,13:10,421,E06000032,3,505,1,40,1,4,6,0,0,4,1,1,1,0,0,1,1,E01015796
453188,208196,-1.230601,51.769875,43,3,2,1,23-04-14,4,14:50,482,E10000025,4,4150,6,20,8,4,6,0,0,0,1,1,1,0,0,1,2,E01028561
