id,author,conference,mdate,title,year
2437465,"Nan Tang 0001,Prasenjit Mitra,Qing Chen",SIGMOD Conference,06-11-18,Graph Stream Summarization: From Big Bang to Big Crunch.,2016
2437482,"Dipti Borkar,Gerald Sangudi,Michael J. Carey 0001,Ravi Mayuram",SIGMOD Conference,06-11-18,Have Your Data and Query It Too: From Key-Value Caching to Big Data Management.,2016
2437559,"Hyeonji Kim,Jeong-Hoon Lee,Juneyoung Lee,Moath H. A. Jarrah,Seongyun Ko,Sourav S. Bhowmick,Wook-Shin Han",SIGMOD Conference,06-11-18,DUALSIM: Parallel Subgraph Enumeration in a Massive Graph on a Single Machine.,2016
2437587,"Damien Profeta,Donald Kossmann,Florian Köhl,Markus Pilman,Martin Kaufmann",SIGMOD Conference,06-11-18,ParTime: Parallel Temporal Aggregation.,2016
2437601,"Ippokratis Pandis,Kangnyeon Kim,Ryan Johnson 0001,Tianzheng Wang 0001",SIGMOD Conference,06-11-18,ERMIA: Fast Memory-Optimized Database System for Heterogeneous Workloads.,2016
2437611,"Adrian Ionescu,Alicja Luszczak,Andrei Costea,Bogdan Raducanu,Cristian Bârca,Giel de Nijs,Juliusz Sompolski,Michal Switakowski,Michal Szafranski,Peter A. Boncz",SIGMOD Conference,06-11-18,VectorH: Taking SQL-on-Hadoop to the Next Level.,2016
2437724,"Himchan Park,Hyunseok Seo,Jinwook Kim,Kyuhyeon An,Min-Soo Kim 0002",SIGMOD Conference,06-11-18,GTS: A Fast and Scalable Graph Processing Method based on Streaming Topology to GPUs.,2016
2437728,"Dennis E. Shasha,Fernando Chirigati,Juliana Freire,Rémi Rampin",SIGMOD Conference,06-11-18,ReproZip: Computational Reproducibility With Ease.,2016
2437740,"Beng Chin Ooi,Gang Chen 0001,Kian-Lee Tan,Pengfei Chang,Qian Lin,Zhengkui Wang",SIGMOD Conference,06-11-18,Towards a Non-2PC Transaction Management in Distributed Database Systems.,2016
2437741,"Amol Deshpande,Divesh Srivastava,Lise Getoor,Theodoros Rekatsinas,Xin Luna Dong",SIGMOD Conference,06-11-18,SourceSight: Enabling Effective Source Selection.,2016
2437749,"Christian Schallhart,Jinsong Guo,Sebastian Maneth,Tim Furche",SIGMOD Conference,06-11-18,Robust and Noise Resistant Wrapper Induction.,2016
2437757,"Ahmed El-Kishky,Heng Ji,Jiawei Han 0001,Xiang Ren",SIGMOD Conference,06-11-18,Automatic Entity Recognition and Typing in Massive Text Data.,2016
2437768,"Anisoara Nica,Ismail Oukid,Johan Lasperas,Thomas Willhalm,Wolfgang Lehner",SIGMOD Conference,06-11-18,FPTree: A Hybrid SCM-DRAM Persistent and Concurrent B-Tree for Storage Class Memory.,2016
2437779,"Feifei Li 0001,Hong Cheng,Jeffrey Xu Yu,Zechao Shang,Zhiwei Zhang",SIGMOD Conference,06-11-18,Graph Analytics Through Fine-Grained Parallelism.,2016
2437789,Jeff Dean,SIGMOD Conference,06-11-18,Building Machine Learning Systems that Understand.,2016
2437798,"Lais M. A. Rocha,Mirella M. Moro",SIGMOD Conference,06-11-18,Research Contribution as a Measure of Influence.,2016
2437807,"Adam J. Storm,C. Mohan 0001,Fatma Özcan,Guy M. Lohman,Hamid Pirahesh,Matt Huras,Oleg Sidorkin,Pinar Tözün,René Müller,Richard Sidle,Ronald Barber,Vijayshankar Raman,Yuanyuan Tian",SIGMOD Conference,06-11-18,Wildfire: Concurrent Blazing Data Ingest and Analytics.,2016
2437815,"Harneet Singh,Jeffrey F. Naughton,Wentao Wu 0001",SIGMOD Conference,06-11-18,Sampling-Based Query Re-Optimization.,2016
2437827,"Manos Athanassoulis,Stratos Idreos",SIGMOD Conference,06-11-18,Design Tradeoffs of Data Access Methods.,2016
2437842,"Alexander Thomson,Daniel J. Abadi,Kun Ren,Thaddeus Diamond",SIGMOD Conference,06-11-18,Low-Overhead Asynchronous Checkpointing in Main-Memory Database Systems.,2016
